date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:41	79741/79741	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:25:41%20GMT	https://www.lovevivah.com/matrimony/buddhist-matrimony	www.lovevivah.com/matrimony/buddhist-matrimony.html	(from https://www.lovevivah.com/)
16:55:44	59503/59503	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:25:44%20GMT	https://www.lovevivah.com/matrimony/jewish-matrimony	www.lovevivah.com/matrimony/jewish-matrimony.html	(from https://www.lovevivah.com/)
16:55:46	79965/79965	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:25:46%20GMT	https://www.lovevivah.com/matrimony/agarwal-matrimony	www.lovevivah.com/matrimony/agarwal-matrimony.html	(from https://www.lovevivah.com/)
16:55:49	79523/79523	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:25:49%20GMT	https://www.lovevivah.com/matrimony/gupta-matrimony	www.lovevivah.com/matrimony/gupta-matrimony.html	(from https://www.lovevivah.com/)
16:55:58	79385/79385	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:25:57%20GMT	https://www.lovevivah.com/matrimony/arora-matrimony	www.lovevivah.com/matrimony/arora-matrimony.html	(from https://www.lovevivah.com/)
16:56:01	79574/79574	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:00%20GMT	https://www.lovevivah.com/matrimony/baniya-matrimony	www.lovevivah.com/matrimony/baniya-matrimony.html	(from https://www.lovevivah.com/)
16:56:04	79828/79828	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:03%20GMT	https://www.lovevivah.com/matrimony/brahmin-matrimony	www.lovevivah.com/matrimony/brahmin-matrimony.html	(from https://www.lovevivah.com/)
16:56:06	79582/79582	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:06%20GMT	https://www.lovevivah.com/matrimony/jat-matrimony	www.lovevivah.com/matrimony/jat-matrimony.html	(from https://www.lovevivah.com/)
16:56:10	79893/79893	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:09%20GMT	https://www.lovevivah.com/matrimony/kayastha-matrimony	www.lovevivah.com/matrimony/kayastha-matrimony.html	(from https://www.lovevivah.com/)
16:56:12	79790/79790	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:11%20GMT	https://www.lovevivah.com/matrimony/khatri-matrimony	www.lovevivah.com/matrimony/khatri-matrimony.html	(from https://www.lovevivah.com/)
16:56:14	79665/79665	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:13%20GMT	https://www.lovevivah.com/matrimony/rajput-matrimony	www.lovevivah.com/matrimony/rajput-matrimony.html	(from https://www.lovevivah.com/)
16:56:16	79249/79249	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:15%20GMT	https://www.lovevivah.com/matrimony/sunni-matrimony	www.lovevivah.com/matrimony/sunni-matrimony.html	(from https://www.lovevivah.com/)
16:56:19	79317/79317	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:18%20GMT	https://www.lovevivah.com/matrimony/delhi-matrimony	www.lovevivah.com/matrimony/delhi-matrimony.html	(from https://www.lovevivah.com/)
16:56:21	79487/79487	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:21%20GMT	https://www.lovevivah.com/matrimony/chandigarh-matrimony	www.lovevivah.com/matrimony/chandigarh-matrimony.html	(from https://www.lovevivah.com/)
16:56:23	79314/79314	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:23%20GMT	https://www.lovevivah.com/matrimony/gujarat-matrimony	www.lovevivah.com/matrimony/gujarat-matrimony.html	(from https://www.lovevivah.com/)
16:56:25	79359/79359	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:25%20GMT	https://www.lovevivah.com/matrimony/haryana-matrimony	www.lovevivah.com/matrimony/haryana-matrimony.html	(from https://www.lovevivah.com/)
16:56:27	79448/79448	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:26%20GMT	https://www.lovevivah.com/matrimony/karnataka-matrimony	www.lovevivah.com/matrimony/karnataka-matrimony.html	(from https://www.lovevivah.com/)
16:56:29	79636/79636	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:29%20GMT	https://www.lovevivah.com/matrimony/maharashtra-matrimony	www.lovevivah.com/matrimony/maharashtra-matrimony.html	(from https://www.lovevivah.com/)
16:56:31	79450/79450	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:31%20GMT	https://www.lovevivah.com/matrimony/punjab-matrimony	www.lovevivah.com/matrimony/punjab-matrimony.html	(from https://www.lovevivah.com/)
16:56:33	79308/79308	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:33%20GMT	https://www.lovevivah.com/matrimony/rajasthan-matrimony	www.lovevivah.com/matrimony/rajasthan-matrimony.html	(from https://www.lovevivah.com/)
16:56:36	79550/79550	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:35%20GMT	https://www.lovevivah.com/matrimony/uttar-pradesh-matrimony	www.lovevivah.com/matrimony/uttar-pradesh-matrimony.html	(from https://www.lovevivah.com/)
16:56:37	79490/79490	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:37%20GMT	https://www.lovevivah.com/matrimony/west-bengal-matrimony	www.lovevivah.com/matrimony/west-bengal-matrimony.html	(from https://www.lovevivah.com/)
16:56:39	79541/79541	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:39%20GMT	https://www.lovevivah.com/matrimony/telangana-matrimony	www.lovevivah.com/matrimony/telangana-matrimony.html	(from https://www.lovevivah.com/)
16:56:42	79686/79686	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:41%20GMT	https://www.lovevivah.com/matrimony/madhya-pradesh-matrimony	www.lovevivah.com/matrimony/madhya-pradesh-matrimony.html	(from https://www.lovevivah.com/)
16:56:44	79737/79737	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:43%20GMT	https://www.lovevivah.com/matrimony/andhra-pradesh-matrimony	www.lovevivah.com/matrimony/andhra-pradesh-matrimony.html	(from https://www.lovevivah.com/)
16:56:46	80449/80449	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:45%20GMT	https://www.lovevivah.com/matrimony/tamil-nadu-matrimony	www.lovevivah.com/matrimony/tamil-nadu-matrimony.html	(from https://www.lovevivah.com/)
16:56:48	80087/80087	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:48%20GMT	https://www.lovevivah.com/matrimony/kerala-matrimony	www.lovevivah.com/matrimony/kerala-matrimony.html	(from https://www.lovevivah.com/)
16:56:51	79932/79932	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:50%20GMT	https://www.lovevivah.com/matrimony/bengali-matrimony	www.lovevivah.com/matrimony/bengali-matrimony.html	(from https://www.lovevivah.com/)
16:56:54	79862/79862	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:53%20GMT	https://www.lovevivah.com/matrimony/gujarati-matrimony	www.lovevivah.com/matrimony/gujarati-matrimony.html	(from https://www.lovevivah.com/)
16:56:56	79701/79701	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:56%20GMT	https://www.lovevivah.com/matrimony/hindi-matrimony	www.lovevivah.com/matrimony/hindi-matrimony.html	(from https://www.lovevivah.com/)
16:56:59	79974/79974	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:26:58%20GMT	https://www.lovevivah.com/matrimony/kannada-matrimony	www.lovevivah.com/matrimony/kannada-matrimony.html	(from https://www.lovevivah.com/)
16:57:02	79690/79690	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:02%20GMT	https://www.lovevivah.com/matrimony/malayalam-matrimony	www.lovevivah.com/matrimony/malayalam-matrimony.html	(from https://www.lovevivah.com/)
16:57:05	79774/79774	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:05%20GMT	https://www.lovevivah.com/matrimony/marathi-matrimony	www.lovevivah.com/matrimony/marathi-matrimony.html	(from https://www.lovevivah.com/)
16:57:07	79782/79782	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:07%20GMT	https://www.lovevivah.com/matrimony/punjabi-matrimony	www.lovevivah.com/matrimony/punjabi-matrimony.html	(from https://www.lovevivah.com/)
16:57:09	80238/80238	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:09%20GMT	https://www.lovevivah.com/matrimony/tamil-matrimony	www.lovevivah.com/matrimony/tamil-matrimony.html	(from https://www.lovevivah.com/)
16:57:11	80210/80210	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:10%20GMT	https://www.lovevivah.com/matrimony/telugu-matrimony	www.lovevivah.com/matrimony/telugu-matrimony.html	(from https://www.lovevivah.com/)
16:57:13	79768/79768	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:13%20GMT	https://www.lovevivah.com/matrimony/urdu-matrimony	www.lovevivah.com/matrimony/urdu-matrimony.html	(from https://www.lovevivah.com/)
16:57:16	79667/79667	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:15%20GMT	https://www.lovevivah.com/matrimony/india-matrimony	www.lovevivah.com/matrimony/india-matrimony.html	(from https://www.lovevivah.com/)
16:57:18	80047/80047	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:17%20GMT	https://www.lovevivah.com/matrimony/usa-matrimony	www.lovevivah.com/matrimony/usa-matrimony.html	(from https://www.lovevivah.com/)
16:57:21	79799/79799	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:20%20GMT	https://www.lovevivah.com/matrimony/uk-matrimony	www.lovevivah.com/matrimony/uk-matrimony.html	(from https://www.lovevivah.com/)
16:57:24	79796/79796	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:23%20GMT	https://www.lovevivah.com/matrimony/canada-matrimony	www.lovevivah.com/matrimony/canada-matrimony.html	(from https://www.lovevivah.com/)
16:57:26	79889/79889	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:25%20GMT	https://www.lovevivah.com/matrimony/australia-matrimony	www.lovevivah.com/matrimony/australia-matrimony.html	(from https://www.lovevivah.com/)
16:57:27	81996/81996	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:25%20GMT	https://www.lovevivah.com/faq	www.lovevivah.com/faq.html	(from https://www.lovevivah.com/)
16:57:28	44461/44461	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:26%20GMT	https://www.lovevivah.com/sitemap	www.lovevivah.com/sitemap.html	(from https://www.lovevivah.com/)
16:57:28	54563/54563	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:27%20GMT	https://www.lovevivah.com/privacy-policy	www.lovevivah.com/privacy-policy.html	(from https://www.lovevivah.com/)
16:57:30	73136/73136	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:28%20GMT	https://www.lovevivah.com/terms-conditions	www.lovevivah.com/terms-conditions.html	(from https://www.lovevivah.com/)
16:57:30	43863/43863	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:29%20GMT	https://www.lovevivah.com/disclaimer	www.lovevivah.com/disclaimer.html	(from https://www.lovevivah.com/)
16:57:31	48450/48450	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:30%20GMT	https://www.lovevivah.com/payment-policy	www.lovevivah.com/payment-policy.html	(from https://www.lovevivah.com/)
16:57:32	13144/13144	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Mar%202020%2011:27:31%20GMT	https://www.lovevivah.com/harmony	www.lovevivah.com/harmony.html	(from https://www.lovevivah.com/)
16:57:38	36868/36868	---M--	200	added ('OK')	application/javascript	etag:%229004-5416cdbc5ccc0%22	https://www.lovevivah.com/assets/js/bootstrap/bootstrap.min.js	www.lovevivah.com/assets/js/bootstrap/bootstrap.min.js	(from https://www.lovevivah.com/)
16:57:40	5758/5758	---M--	200	added ('OK')	application/javascript	etag:%22167e-561c6eac8cb80%22	https://www.lovevivah.com/assets/app/HomeApp.js?v=24	www.lovevivah.com/assets/app/HomeApp7893.js	(from https://www.lovevivah.com/)
